Линолеум Tarkett Дельта Сорбона 3 3,0м  / 0,15мм;1530;300;2.5;0.15;КМ5;Tarkett;https://zalog-vostok.ru/catalog/napolnye_pokrytiya/linoleum/delta_sorbona_3_3_0m/;https://zalog-vostok.ru/upload/resize_cache/iblock/1dd/450_450_140cd750bba9870f18aada2478b24840a/oi7ogx8wn87mvjjkfm6523syfxei1rdp.jpg
Линолеум Tarkett Ерапшен Луара 2 3,5м  / 0,2мм;1225;350;3.0;0.2;КМ5;Tarkett;https://zalog-vostok.ru/catalog/napolnye_pokrytiya/linoleum/erapshen_luara_2_3_5m/;https://zalog-vostok.ru/upload/resize_cache/iblock/fb3/450_450_140cd750bba9870f18aada2478b24840a/0e8muq1ni96k86xe6gqo21guzvlak38t.jpg
Линолеум Tarkett Идиллия Бремен 1 3,5м  / 0,5мм;3833;350;3.7;0.5;КМ5;Tarkett;https://zalog-vostok.ru/catalog/napolnye_pokrytiya/linoleum/idilliya_bremen_1_3_5m/;https://zalog-vostok.ru/upload/resize_cache/iblock/a9a/450_450_140cd750bba9870f18aada2478b24840a/ch3b89902zrowvb2ezw4rfa12fhh68jw.jpg
Линолеум Tarkett Идиллия Бремен 1 3,0м  / 0,5мм;3285;300;3.7;0.5;КМ5;Tarkett;https://zalog-vostok.ru/catalog/napolnye_pokrytiya/linoleum/idilliya_bremen_1_3_0m/;https://zalog-vostok.ru/upload/resize_cache/iblock/13c/450_450_140cd750bba9870f18aada2478b24840a/v0lf0ynnz9hzia72l0zfss8ffton256p.jpg
Линолеум Tarkett Спринт PRO Арно 3 3,0м  / 0,4мм;2745;300;1.8;0.4;КМ2;Tarkett;https://zalog-vostok.ru/catalog/napolnye_pokrytiya/linoleum/sprint_pro_arno_3_3_0m/;https://zalog-vostok.ru/upload/resize_cache/iblock/36f/450_450_140cd750bba9870f18aada2478b24840a/5tx6nl7am20yyrjgms0h0d55a4o3b19x.jpg
Линолеум Tarkett Идиллия Каскад 4 3,0м  / 0,5мм;3963;300;3.7;0.5;КМ5;Tarkett;https://zalog-vostok.ru/catalog/napolnye_pokrytiya/linoleum/idilliya_kaskad_4_3_0m_kh/;https://zalog-vostok.ru/upload/resize_cache/iblock/b55/450_450_140cd750bba9870f18aada2478b24840a/2q4ax43c85ux5x982f8o7m4mfjyjml38.jpg
Линолеум Tarkett Фаворит Азул 1 3,5м  / 0,3мм;3213;350;3.3;0.3;КМ5;Tarkett;https://zalog-vostok.ru/catalog/napolnye_pokrytiya/linoleum/favorit_azul_1_3_5m/;https://zalog-vostok.ru/upload/resize_cache/webp/iblock/00b/91ls81frnthcx5p2nu8swo4mzq7803ni.webp
Линолеум Tarkett Фаворит Азул 1 3,0м  / 0,3мм;2754;300;3.3;0.3;КМ5;Tarkett;https://zalog-vostok.ru/catalog/napolnye_pokrytiya/linoleum/favorit_azul_1_3_0m/;https://zalog-vostok.ru/upload/resize_cache/webp/iblock/3ab/747axx175r7uigd6zchxufgct5sqsso8.webp
Линолеум Tarkett Гранд Давос 1 3,0м  / 0,3мм;3180;300;4.5;0.3;КМ5;Tarkett;https://zalog-vostok.ru/catalog/napolnye_pokrytiya/linoleum/grand_davos_1_3_0m/;https://zalog-vostok.ru/upload/resize_cache/iblock/839/450_450_140cd750bba9870f18aada2478b24840a/1cjdr6bvyj5wdtby62wjdf7xl96spa7j.jpg
Линолеум Tarkett Гранд Фламенко 1 3,0м  / 0,4мм;2109;300;4.5;0.4;КМ5;Tarkett;https://zalog-vostok.ru/catalog/napolnye_pokrytiya/linoleum/grand_flamenko_1_3_0m/;https://zalog-vostok.ru/upload/resize_cache/iblock/c95/450_450_140cd750bba9870f18aada2478b24840a/p4ga8jd26i9rakqh79iuubthq6jvqxc9.jpg
