Линолеум JUTEKS TEXAS GLAMOUR 916М шир. 3 м;2010;300;3.2;0.3;КМ5;Ютекс;https://polov.net/catalog/household/linoleum_juteks_texas_glamour_916m_shir_3_m/;https://polov.net/upload/iblock/925/394s75u09fj1o35en2l0f683au0y43ul.jpeg
Линолеум TARKETT STIMUL VOLT 2 шир. 3 м;1350;300;2.1;0.15;КМ5;Tarkett;https://polov.net/catalog/household/linoleum_tarkett_stimul_volt_2_shir_3_m/;https://polov.net/upload/iblock/678/top1f5ucatugkozcm8gz4la3mil0zmd8.jpeg
Линолеум TARKETT PRESTIGE TEXAS 3 шир. 2,5 м;2650;250;3.5;0.35;КМ5;Tarkett;https://polov.net/catalog/household/linoleum_tarkett_prestige_texas_3_shir_3_m/;https://polov.net/upload/iblock/0e6/pyfjo4ycu3jfn1qpitt80fgsq9jkhk02.jpeg
Линолеум IVC ECO ASPIN 545 шир. 3 м;915;300;2.0;0.15;КМ5;IVC;https://polov.net/catalog/household/linoleum_ivc_eco_aspin_545_shir_3_m/;https://polov.net/upload/iblock/0da/9ede30k6da82qdye8ptmks8lw415fbyp.jpeg
Линолеум IVC HERITAGE KALE 506 шир. 3,5 м;1960;350;2.2;0.4;;IVC;https://polov.net/catalog/household/linoleum_ivc_heritage_kale_506_shir_3_5_m/;https://polov.net/upload/iblock/129/7b63ewvfzilv8xajuk2ylyuotg3hrsjn.jpeg
Линолеум IVC TEXMARK NIM 531 шир. 1,5 м;1020;150;2.8;0.4;КМ5;IVC;https://polov.net/catalog/household/linoleum_ivc_texmark_nim_531_shir_2_5_m/;https://polov.net/local/templates/new_toptygin/components/bitrix/catalog/new_toptygin/bitrix/catalog.element/page/images/no_photo.png
Линолеум IVC TEXMARK SATIN OAK 790 шир. 3 м;2850;300;2.8;0.4;КМ5;IVC;https://polov.net/catalog/household/linoleum_ivc_texmark_satin_oak_790_shir_3_m/;https://polov.net/upload/iblock/25e/wq71wx7kmjztjgqjcvj3o1cn3j69uijd.jpeg
Линолеум IVC NEO GRASS 025 шир. 3 м;1800;300;2.5;0.2;КМ5;IVC;https://polov.net/catalog/household/linoleum_ivc_neo_grass_025_shir_3_m/;https://polov.net/upload/iblock/ba7/4k4bk95yhuglvfun927lto05dhom1m0u.jpeg
Линолеум IVC NEO BRERA 575 шир. 3 м;1800;300;2.5;0.2;КМ5;IVC;https://polov.net/catalog/household/linoleum_ivc_neo_brera_575_shir_3_m/;https://polov.net/upload/iblock/f6a/6g7pqxud27sp0lw19ay1pvp341ojohpq.jpeg
Линолеум IVC MARS MUSIC 696  шир. 2,5 м;2375;250;0;0.6;;IVC;https://polov.net/catalog/semi-commercial/linoleum_ivc_mars_music_696_shir_3_m/;https://polov.net/local/templates/new_toptygin/components/bitrix/catalog/new_toptygin/bitrix/catalog.element/page/images/no_photo.png
Линолеум IVC GREENLINE MORZIN 846 шир. 3 м;2280;300;4.0;0.4;КМ5;IVC;https://polov.net/catalog/household/linoleum_ivc_greenline_morzin_846_shir_3_m/;https://polov.net/upload/iblock/289/n0ddzatzdfrdev1qbw9noyi4lfe1srlr.jpeg
Линолеум IVC GREENLINE CAMMARGUE 754 шир. 3 м;3168;300;4.0;0.4;КМ5;IVC;https://polov.net/catalog/household/linoleum_ivc_greenline_cammargue_754_shir_3_m/;https://polov.net/upload/iblock/3df/luveghy1wo315vj25ltadr7qp948mray.jpeg
Линолеум IVC GREENLINE CARPATIANS 599 шир. 2,5 м;2775;250;4.0;0.4;КМ5;IVC;https://polov.net/catalog/household/linoleum_ivc_greenline_carpatians_599_shir_3_m/;https://polov.net/upload/iblock/470/cxbep72kzjpfvengs1w1bu72st13gvks.jpeg
Линолеум IVC GREENLINE CHAPARRAL OAK 544 шир. 2,5 м;2775;250;4.0;0.4;КМ5;IVC;https://polov.net/catalog/household/linoleum_ivc_greenline_chaparral_oak_544_shir_3_m/;https://polov.net/upload/iblock/f4d/fucco1q0pmalucd9pqx1rp9rixp7z1ik.jpeg
Линолеум IVC GREENLINE RANCHO 591 шир. 2,5 м;2775;250;4.0;0.4;КМ5;IVC;https://polov.net/catalog/household/linoleum_ivc_greenline_rancho_591_shir_3_m/;https://polov.net/upload/iblock/5df/t8aae6xv5eltqezleo4khi9cv4s9iio2.jpeg
